track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
52,event100000053-hits,25,75,32,32,32,96,5,-16.123231450289122,0.0001724033088966472,1732.9101528483388,0.012757844858351894,129968.26146362541,0.012757844858351894,1856.689449480363,-11.888159228571903
53,event100000054-hits,25,75,32,32,32,96,5,-41.466070576522824,2.82833668818784e-16,288.41427020743913,2.092969149259002e-14,21631.070265557933,2.092969149259002e-14,309.01528950797046,-37.23099835480561
54,event100000055-hits,25,75,32,32,32,96,5,-14.416002109653329,0.02280489550035334,41573.659412884714,1.6875622670261472,3118024.4559663534,1.6875622670261472,44543.206513805046,-10.18092988793611
55,event100000056-hits,25,75,32,32,32,96,5,-15.700740195230281,0.008069305793416871,53159.514060389956,0.5971286287128484,3986963.554529247,0.5971286287128484,56956.62220756067,-11.465667973513064
56,event100000057-hits,25,75,32,32,39,103,5,-10.163536432105346,0.14972106516430345,3883.7449115233944,11.079358822158454,291280.8683642546,11.079358822158454,4161.155262346494,-5.928464210388128
57,event100000058-hits,25,75,32,32,32,96,5,-42.98631312733383,6.257299580213123e-16,2918.1360561643223,4.6304016893577115e-14,218860.20421232417,4.6304016893577115e-14,3126.5743458903453,-38.75124090561661
58,event100000059-hits,25,75,32,32,32,96,5,-11.340247348622015,0.1318431165978217,11093.390669350298,9.756390628238805,832004.3002012724,9.756390628238805,11885.775717161034,-7.105175126904797
59,event100000060-hits,39,117,39,78,39,156,5,-11.73834049828795,3.0654889912459535,384057.51358851197,355.59672298453063,44934729.0898559,355.59672298453063,401202.93830228486,-7.028425370684246
60,event100000061-hits,25,75,32,32,32,96,5,-39.101823556405996,2.028758064426243e-15,194.5075493425064,1.50128096767542e-13,14588.06620068798,1.50128096767542e-13,208.400945724114,-34.86675133468878
61,event100000062-hits,57,171,39,39,39,117,5,-11.441096692544617,11.871377513979686,1104857.5211373724,2018.1341773765466,188930636.1144907,37.372855136602716,1138136.362135486,-10.323958070204746
62,event100000063-hits,25,75,32,32,32,96,5,-15.086338130185057,0.036164453035481305,128882.90104400096,2.6761695246256165,9666217.578300072,2.6761695246256165,138088.82254714388,-10.85126590846784
63,event100000064-hits,25,75,32,32,32,96,5,-13.966923826037132,0.00030062635888567304,349.77197043875555,0.022246350557539804,26232.897782906664,0.022246350557539804,374.75568261295234,-9.731851604319912
64,event100000065-hits,25,75,32,32,32,96,5,-11.383328428032355,0.021135667128760586,1856.6612887191236,1.5640393675282833,139249.59665393428,1.5640393675282833,1989.2799521990612,-7.148256206315137
65,event100000066-hits,25,75,32,32,32,96,5,-43.043506595763525,2.1482815697029674e-15,10608.36853972188,1.589728361580196e-13,795627.6404791409,1.589728361580196e-13,11366.109149702013,-38.80843437404631
66,event100000067-hits,25,75,32,32,32,96,5,-13.471793327886914,0.034364750413371864,24369.05553502041,2.542991530589518,1827679.1651265307,2.542991530589518,26109.70235895044,-9.236721106169696
67,event100000068-hits,69,207,32,32,77,141,5,-10.431279030407524,70.35296173715719,2385224.751065734,14492.71011785438,493741523.4706069,219.58651693718758,2444264.9676762717,-9.317508699508533
68,event100000069-hits,37,111,42,42,95,179,5,-11.9019493489719,1.4994575505788055,221250.92833541112,164.9403305636686,24558853.045230635,164.9403305636686,231687.29287953427,-7.247560090379751
69,event100000070-hits,25,75,32,32,32,96,5,-11.617107598257832,0.0010620447566945062,117.8659998841105,0.07859131199539346,8839.949991308287,0.07859131199539346,126.28499987583268,-7.382035376540613
70,event100000071-hits,25,75,32,32,32,96,5,-45.17935731939414,3.2924586029609424e-16,13761.504069815193,2.4364193661910973e-14,1032112.8052361395,2.4364193661910973e-14,14744.468646230564,-40.944285097676925
71,event100000072-hits,57,171,32,32,32,96,5,-14.021470855226507,0.45095346638245265,554088.5174024125,76.66208928501695,94749136.47581254,1.0221611904668926,570777.930577184,-13.232836299858674
72,event100000073-hits,81,243,32,32,32,96,5,-7.50836105161555,268.777204701638,490040.76119100477,65044.0835377964,119079904.96941416,442.4767587605198,500335.7351656057,-7.030646681906673
73,event100000074-hits,27,81,39,39,78,156,5,-14.28857154359924,0.15766993612697075,253044.36315094455,12.61359489015766,20496593.415226508,12.61359489015766,269692.0186214014,-9.970260723311466
74,event100000075-hits,27,81,32,32,32,96,5,-14.130487107635902,0.01766006953182526,24198.30724322705,1.412805562546021,1960062.886701391,1.412805562546021,25790.301140807776,-9.812176287348128
75,event100000076-hits,25,75,32,32,32,96,5,-17.987934415582224,0.00010888306451265587,7063.516973572377,0.008057346773936535,529763.7730179282,0.008057346773936535,7568.053900256117,-13.752862193865006
76,event100000077-hits,25,75,32,32,32,96,5,-13.264897780360547,0.07133561665861632,41131.85809911121,5.278835632737607,3084889.357433341,5.278835632737607,44069.84796333344,-9.02982555864333
