track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K,PID,particle_id,purity_reco,eff_true,n_shared,n_reco_hits,n_true_hits,pt,track_id,n_rows_csv
64,67943,26,78,32,32,32,96,5,-32.464732557396495,1.88029152298614e-18,0.00023630852763335675,1.447824472699328e-16,0.018432065155401828,1.447824472699328e-16,0.0002524940432246826,-28.18717652108401,-211,1062,0.9615384615384616,1.0,25,26,25,1.2493282194843756,208,26
65,67960,25,75,32,32,32,96,5,-34.018238526484,6.284639338834512e-18,0.003734338100686562,4.650633110737539e-16,0.28007535755149215,4.650633110737539e-16,0.004001076536449888,-29.783166304766777,-11,3156,0.96,0.96,24,25,25,0.7401763303429798,256,25
66,67979,23,69,32,32,32,96,5,-30.953694815737197,1.5616145298223342e-17,0.000433104498053212,1.0618978802791873e-15,0.029884210365671626,1.0618978802791873e-15,0.00046694078696361916,-26.80941053179868,-211,527,0.9565217391304348,1.0,22,23,22,0.5467732619651403,12,23
67,67989,28,84,42,39,39,120,5,-28.252450788369526,8.488552838891883e-16,0.0015802184713052721,7.045498856280263e-14,0.13273835158964287,7.045498856280263e-14,0.0016802322986030742,-23.89497912694922,2212,891,0.8928571428571429,1.0,25,28,25,13.299660221223698,149,28
68,67989,23,69,32,32,32,96,5,-31.505503492482614,3.305860147291798e-17,0.0015920283361857926,2.2479849001584224e-15,0.1098499551968197,2.2479849001584224e-15,0.0017164055499503078,-27.361219208544096,-2112,1209,0.0434782608695652,0.04,1,23,25,21.6171713228165,215,23
69,67995,23,69,32,32,32,96,5,-32.605000871203934,1.2596957013284462e-15,0.1821535367925317,8.565930769033434e-14,12.568594038684688,8.565930769033434e-14,0.19638428185444826,-28.460716587265416,211,2004,0.9565217391304348,0.88,22,23,25,0.3020066224439457,229,23
70,68033,25,75,32,32,32,96,5,-34.634584880758204,3.863519415773004e-18,0.004251989621658596,2.859004367672023e-16,0.3188992216243947,2.859004367672023e-16,0.004555703166062782,-30.399512659040987,-211,1903,0.96,0.96,24,25,25,0.6341332667507674,261,25
71,68038,23,69,32,32,32,96,5,-22.87857757761079,6.471882940844762e-15,5.585610517025668e-05,4.400880399774438e-13,0.003854071256747711,4.400880399774438e-13,6.021986338668298e-05,-18.734293293672273,15,97,0.0434782608695652,0.04,1,23,25,14.142135623730953,8,23
72,68054,23,69,32,32,32,96,5,-32.039142886474124,2.4137554939345177e-17,0.0019820574382149736,1.641353735875472e-15,0.13676196323683318,1.641353735875472e-15,0.0021369056755755184,-27.894858602535606,-211,1147,0.1739130434782608,0.16,4,23,25,21.005509753395657,222,23
74,68140,22,66,32,32,32,96,5,-26.20760275889637,9.767683871146478e-15,0.0023529291893741723,6.348994516245211e-13,0.15529332649869537,6.348994516245211e-13,0.0025457922376835307,-22.111996366853848,211,858,0.0454545454545454,0.04,1,22,25,9.67316287467548,168,22
75,68202,25,75,32,32,32,96,5,-25.64860351297257,9.400461594531422e-17,1.2947805106171548e-05,6.956341579953252e-15,0.0009710853829628662,6.956341579953252e-15,1.3872648328040946e-05,-21.413531291255353,-211,415,0.96,0.96,24,25,25,0.8669377140256387,32,25
