track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
34,event100000035-hits,155,465,39,39,32,110,5,-1.419633794266836,714642.5678637685,2955479.863113888,331594151.4887886,1374298136.3479578,934068.0323627848,2987604.644234691,-1.162677947620212
35,event100000036-hits,233,699,32,32,32,96,5,-1.8339366052935322,174207.3755976008,1090272.5704999934,121596748.16712536,762100526.7794954,201652.98203503375,1098127.560201002,-1.6948134809853508
36,event100000037-hits,134,402,32,32,32,96,5,-2.6308144007130467,127359.49376285622,1768395.9079221583,51071156.998905346,710895154.9847076,166899.20587877565,1790667.896686921,-2.3729538832906885
37,event100000038-hits,195,585,32,32,32,96,5,-2.1457558728238246,449069.7382912588,3838872.8261665246,262256727.16209513,2245740603.307417,536312.3254848571,3871966.5574265807,-1.9768011231618612
38,event100000039-hits,155,465,39,39,32,110,5,-1.452703238677617,691178.6357599729,2954549.7423569965,320706886.9926274,1373865630.1960034,903399.681669373,2986664.4134695726,-1.1957473920309933
39,event100000040-hits,233,699,32,32,32,96,5,-1.8365100485008738,173761.4336451938,1090283.8301210937,121285480.68434528,762108397.2546445,201136.78388780312,1098138.9009432918,-1.6973869241926927
40,event100000041-hits,134,402,32,42,32,106,5,-2.4000078503958227,160315.39995547393,1767198.8033979407,64286475.38214505,710413918.9659722,217184.03845319274,1789455.715279527,-2.1089216853451442
41,event100000042-hits,195,585,32,32,32,96,5,-2.1637883158104,441106.8106191353,3839415.2789544975,257606377.40157503,2246057938.188381,526802.407774182,3872513.686531692,-1.9948335661484367
42,event100000043-hits,155,465,39,39,32,110,5,-1.4359373580485426,702857.3164386412,2954519.365804576,326125794.8275295,1373851505.0991278,918664.2107817732,2986633.7067372343,-1.1789815114019186
43,event100000044-hits,233,699,32,32,32,96,5,-1.8354367394370756,173938.6142636664,1090224.7916345207,121409152.75603914,762067129.35253,201341.8785340616,1098079.437107392,-1.6963136151288942
44,event100000045-hits,134,402,32,32,39,103,5,-2.670157849467219,122405.50683002073,1767810.7736210527,49084608.238838315,710659930.9956632,164162.56936066327,1790075.3929361792,-2.389155803483167
45,event100000046-hits,195,585,32,32,32,96,5,-2.1246062163638966,458646.69376832223,3838689.839284523,267849669.16070017,2245633555.981446,547749.8346844584,3871781.9930714583,-1.955651466701933
