track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
45,event100000046-hits,43,129,3,3,3,9,5,-0.005941326875582814,0.7133867634988559,0.7176378434723371,91.31350572785355,92.57528180793147,0.7609458810654463,0.7465748532897699,0.01906635550535316
46,event100000047-hits,56,168,3,3,3,9,5,-0.012773402747670592,0.64356562169905,0.65183887086319,107.47545882374135,109.50893030501592,0.6759462819103229,0.6718339282516315,0.006102428852356443
47,event100000048-hits,21,63,3,3,3,9,5,-0.07300293545664537,0.5633851382096606,0.6060523762539068,34.92987856899896,38.18129970399613,0.6468496031296104,0.658298270758554,-0.01754431282094151
48,event100000049-hits,43,129,3,3,3,9,5,-0.013933788965771686,0.6218522581187245,0.6305776640640955,79.59708903919673,81.34451866426832,0.6633090753266394,0.6560041827763574,0.011073893415164368
49,event100000050-hits,43,129,3,3,3,9,5,-0.013933788965771686,0.6218522581187245,0.6305776640640955,79.59708903919673,81.34451866426832,0.6633090753266394,0.6560041827763574,0.011073893415164368
50,event100000051-hits,29,87,3,3,3,9,5,-0.031022870166563157,1.1779569516404989,1.2150733084307161,101.3042978410829,105.7113778334723,1.2987730492446525,1.2891631443106377,0.007426728007022342
51,event100000052-hits,43,129,3,3,3,9,5,-0.0012502600625327652,0.6684083469358773,0.6692445538266281,85.55626840779229,86.33254744363502,0.712968903398269,0.6962302213196373,0.023757422318403127
52,event100000053-hits,56,168,3,3,3,9,5,-0.023071350195767087,0.8477654687081528,0.8675519353048025,141.57683327426153,145.7487251312068,0.8904203350582486,0.8941639578601644,-0.004195518595739963
53,event100000054-hits,21,63,3,3,3,9,5,-0.12231741550886961,0.7011203154659724,0.7923450149241165,43.46945955889029,49.91773594021934,0.8049899918313017,0.8606506196589541,-0.06685879287316573
54,event100000055-hits,29,87,3,3,3,9,5,-0.03368293734007563,0.8345550492202332,0.8631440932384042,71.77173423294005,75.09353611174117,0.9201504388838467,0.91577483063099,0.004766660833509524
55,event100000056-hits,43,129,3,3,3,9,5,-0.04743403584224306,0.526983056775421,0.552582328712679,67.45383126725389,71.28312040393558,0.562115260560449,0.574863874225287,-0.02242635346130712
56,event100000057-hits,56,168,3,3,3,9,5,-0.026451762683030077,0.694786443310579,0.7134099964391699,116.0293360328667,119.85287940178054,0.7297442517790358,0.7352937386612303,-0.0075759310830030135
57,event100000058-hits,21,63,3,3,3,9,5,0.009088607942545303,0.578390716267035,0.5731577659475048,35.86022440855617,36.1089392546928,0.6640782297880773,0.6225679181843586,0.06454723057824927
58,event100000059-hits,29,87,3,3,3,9,5,-0.06306588222265015,1.371995498548895,1.4613083003266005,117.99161287520496,127.13382212841425,1.512712985579551,1.5504124649806617,-0.024616284049064786
59,event100000060-hits,43,129,3,3,3,9,5,-0.05003383339701849,0.5800701472769805,0.6098316120288844,74.2489788514535,78.66827795172608,0.6187414904287791,0.6344215963848877,-0.025026151016082517
60,event100000061-hits,56,168,3,3,3,9,5,-0.009990602077735144,0.5255245281291441,0.5308011489922937,87.76259619756706,89.17459303070534,0.5519660138211765,0.5470833928264132,0.00888522952229197
61,event100000062-hits,21,63,3,3,3,9,5,-0.028320499049048372,0.972848891983936,1.0007943043381535,60.31663130300403,63.050041173303676,1.116974653759334,1.0870696754017874,0.0271381235866554
62,event100000063-hits,29,87,3,3,3,9,5,0.0006961088086315479,0.9398785807551451,0.9392245506605024,80.82955794494248,81.7125359074637,1.036276383909519,0.9964943403349232,0.03914570698221714
63,event100000064-hits,43,129,3,3,3,9,5,-0.05260418414351036,0.5998884091317561,0.6322898024852741,76.78571636886478,81.56538452060036,0.6398809697405399,0.6577853590370997,-0.0275965017625744
64,event100000065-hits,56,168,3,3,3,9,5,-0.012746994166155452,0.5898991242484954,0.5974666943616358,98.51315374949874,100.37440465275482,0.6195795833301808,0.615793893575183,0.006128837433871594
65,event100000066-hits,21,63,3,3,3,9,5,0.008016713250535948,0.8850755997409698,0.8780085674868041,54.87468718394013,55.31453975166866,1.0161979108137063,0.9536989612356666,0.0634753358862399
66,event100000067-hits,29,87,3,3,3,9,5,-0.05293850556453365,0.6114185425242623,0.6446581927026891,52.58199465708656,56.08526276513395,0.6741281366293149,0.6839666190869994,-0.014488907390948135
67,event100000068-hits,43,129,3,3,3,9,5,-0.015525403416886796,0.9345247895494877,0.9491468771088365,119.61917306233443,122.4399471470399,0.9968264421861203,0.9874189286051605,0.009482278964049228
68,event100000069-hits,56,168,3,3,3,9,5,-0.00444772362672678,0.954062091699098,0.9583149469572021,159.32836931374936,160.99691108880995,1.0020652158097445,0.9877111109742942,0.014428107973300337
69,event100000070-hits,21,63,3,3,3,9,5,-0.07033495539274195,0.7686766683053711,0.8246882029998406,47.657953434933006,51.95535678898996,0.8825546932395001,0.8957820136032751,-0.01487633275703816
70,event100000071-hits,29,87,3,3,3,9,5,0.008035041876853338,0.7955268771561929,0.7891603971036285,68.41531143543259,68.65695454801568,0.8771193773773408,0.8372799335123863,0.04648464005043881
71,event100000072-hits,43,129,3,3,3,9,5,-0.014542281603074546,0.6153075657207139,0.6243209201397488,78.75936841225138,80.5373986980276,0.6563280701020948,0.6494951507905452,0.010465400777861343
72,event100000073-hits,56,168,3,3,3,9,5,-0.05302111779581761,0.6359135999519896,0.6705403117078221,106.19757119198226,112.65077236691411,0.6679092527797627,0.6911090329258535,-0.03414528619579065
73,event100000074-hits,21,63,3,3,3,9,5,-0.06202234086759271,0.7209874007322989,0.7671205833504484,44.701218845402536,48.32859675107825,0.8278003489889358,0.8332516681220388,-0.006563718231888842
74,event100000075-hits,29,87,3,3,3,9,5,0.0062993379659405865,0.8883714423970221,0.8827928795157567,76.3999440461439,76.80298051787084,0.97948646213005,0.9366217136325712,0.04474893613952581
75,event100000076-hits,43,129,3,3,3,9,5,-0.020525905659989237,0.7529369650887323,0.7685513799968386,96.37593153135774,99.14312801959218,0.8031327627613145,0.7995413549967112,0.004481776720946629
76,event100000077-hits,56,168,3,3,3,9,5,0.0005554065990806115,0.6155184393132742,0.6151766712291341,102.79157936531679,103.34968076649453,0.6464879205365835,0.6340471212668376,0.019431238199107498
77,event100000078-hits,21,63,3,3,3,9,5,-0.0319022033980747,0.6400604959093067,0.6608090384420033,39.683750746377015,41.63096942184621,0.7348842730810559,0.7177753348594174,0.02355641923762932
78,event100000079-hits,29,87,3,3,3,9,5,-0.0211266788763152,0.846100367334135,0.8641658176413868,72.7646315907356,75.18242613480065,0.932879892188918,0.9168588553024469,0.017322919297270065
79,event100000080-hits,43,129,3,3,3,9,5,-0.0016999528581004046,0.6806200187902847,0.6817780247353946,87.11936240515644,87.9493651908659,0.725994686709637,0.7092690741198864,0.02330772952283551
80,event100000081-hits,56,168,3,3,3,9,5,-0.03670019143208773,0.7260132944702438,0.7531530931051945,121.2442201765307,126.52971964167268,0.7625422652611994,0.7762559487219183,-0.0178243598320608
81,event100000082-hits,21,63,3,3,3,9,5,-0.01453120302968069,1.1596660291963663,1.1766404020569357,71.89929381017471,74.12834532958695,1.3314684038921243,1.2780749194756371,0.040927419606023085
82,event100000083-hits,29,87,3,3,3,9,5,-0.01332576752690457,0.9666769918745313,0.97964491661821,83.13422130120969,85.22910774578426,1.0658233500155088,1.0393793627534667,0.025123830646680684
83,event100000084-hits,43,129,3,3,3,9,5,0.003546481237241376,0.7136795592426708,0.7111529909381223,91.35098358306186,91.73873583101778,0.7612581965255155,0.7398285147662724,0.028554163618177357
84,event100000085-hits,56,168,3,3,3,9,5,-0.011824069268276957,0.787069725283561,0.7964313292922554,131.44064412235468,133.8004633210989,0.8266707177506584,0.820861738166251,0.007051762331749969
85,event100000086-hits,21,63,3,3,3,9,5,-0.2414524067550917,0.42844942564536836,0.5454576195996842,26.56386439001284,34.36383003478011,0.4919234146298674,0.592479828185864,-0.1859937841193881
86,event100000087-hits,29,87,3,3,3,9,5,-0.006788429682180779,0.811566743957107,0.8170947497413252,69.7947399803112,71.08724322749529,0.8948043587219385,0.8669176003353084,0.031661168491404795
87,event100000088-hits,43,129,3,3,3,9,5,-0.059279293875988084,0.735348628840619,0.7802575095012634,94.12462449159923,100.65321872566298,0.7843718707633269,0.8117195058521208,-0.03427161149505226
88,event100000089-hits,56,168,3,3,3,9,5,-0.019348824171536966,0.6252662425890066,0.6374822103712108,104.4194625123641,107.09701134236342,0.6567261793230447,0.6570368794010025,-0.0004729925715100635
89,event100000090-hits,21,63,3,3,3,9,5,-0.06950380844141929,0.7051416723590636,0.7558950507366626,43.71878368626194,47.62138819640975,0.8096071053011471,0.8210584171794784,-0.014045185805715385
90,event100000091-hits,29,87,3,3,3,9,5,-0.002692354605084842,0.6144090402418108,0.6160654761064818,52.839177460795725,53.59769642126391,0.6774253520614837,0.653630444161755,0.03575724356850077
91,event100000092-hits,43,129,3,3,3,9,5,-0.035271526360168004,0.7794598303771926,0.8074431749002433,99.77085828828065,104.16016956213139,0.8314238190690054,0.8400013674365434,-0.01026384397923203
92,event100000093-hits,56,168,3,3,3,9,5,-0.0035427377483631273,0.6632080964997863,0.6655618357368859,110.7557521154643,111.81438840379683,0.6965770573299642,0.6859778429680787,0.015333093851663766
93,event100000094-hits,21,63,3,3,3,9,5,-0.062365850438452775,0.5877329257089283,0.6255545192472312,36.43944139395356,39.40993471257556,0.6748044702583992,0.6794816329754407,-0.006907227802749002
94,event100000095-hits,29,87,3,3,3,9,5,-0.02507467018112651,0.8158462114240684,0.8365619204936698,70.16277418246989,72.78088708294928,0.8995227459291011,0.8875717936945033,0.013374927992458872
95,event100000096-hits,43,129,3,3,3,9,5,0.002630171824053915,0.9145424634344166,0.9121402201563367,117.06143531960532,117.66608840016742,0.975511960996711,0.9489200677432856,0.02763785420498982
96,event100000097-hits,56,168,3,3,3,9,5,0.0016435112567036827,0.6734683473999109,0.6723624036543645,112.46921401578513,112.95688381393323,0.7073535472690888,0.6929870172633941,0.020519342856730648
97,event100000098-hits,21,63,3,3,3,9,5,-0.04859952154229721,0.3955710116042977,0.415270386400178,24.525402719466456,26.162034343211214,0.454174124434564,0.45106955764157264,0.006859101093406677
98,event100000099-hits,43,129,3,3,3,9,5,-0.0028101554266729417,0.6976576466022207,0.6996209302979459,89.30017876508425,90.25110000843502,0.7441681563757021,0.7278314516809276,0.022197526954263018
99,event100000100-hits,43,129,3,3,3,9,5,-0.0028101554266729417,0.6976576466022207,0.6996209302979459,89.30017876508425,90.25110000843502,0.7441681563757021,0.7278314516809276,0.022197526954263018
