track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
42,event66724_track199-hits,26,78,39,32,32,103,5,-23.91068860257619,2.3833667135650458e-14,0.0005773923004375486,1.8351923694450853e-12,0.045036599434128785,1.8351923694450853e-12,0.0006169397182757368,-19.633132566263708
43,event66741_track70-hits,26,78,39,39,39,117,5,-32.48191805966758,1.1123988960750348e-14,1.4222577997800367,8.565471499777768e-13,110.93610838284286,8.565471499777768e-13,1.51967271757319,-28.204362023355092
45,event66927_track197-hits,23,69,32,32,32,96,5,-29.191476482592282,2.5336250335434593e-17,0.00012062560274218676,1.7228650228095522e-15,0.008323166589210887,1.7228650228095522e-15,0.0001300494779564201,-25.04719219865376
47,event67176_track183-hits,26,78,32,32,32,96,5,-26.892564613424014,1.0083025327239417e-16,4.818182810847897e-05,7.763929501974351e-15,0.0037581825924613596,7.763929501974351e-15,5.148195332138849e-05,-22.61500857711153
49,event67232_track390-hits,24,72,32,32,32,96,5,-25.33497506838901,5.095268093339447e-16,5.128695455414424e-05,3.6176403462710076e-14,0.003692660727898385,3.6176403462710076e-14,5.511433922236396e-05,-21.144268690972783
51,event67357_track147-hits,26,78,39,39,39,117,5,-35.25665548615954,4.024975173224977e-16,0.8251523367918104,3.099230883383232e-14,64.36188226976121,3.099230883383232e-14,0.8816696201337152,-30.979099449847055
52,event67431_track50-hits,25,75,32,32,32,96,5,-25.59301377100964,1.0664672970230187e-17,1.3894796752397578e-06,7.891857997970339e-16,0.00010421097564298183,7.891857997970339e-16,1.488728223471169e-06,-21.357941549292423
54,event67496_track19-hits,25,75,32,32,32,96,5,-30.11272387212245,1.0405569147707448e-17,0.00012446740992747547,7.700121169303511e-16,0.00933505574456066,7.700121169303511e-16,0.00013335793920800942,-25.87765165040523
58,event67681_track211-hits,24,72,32,32,32,96,5,-27.101723218517595,2.7536646224456277e-16,0.00016219590635796027,1.9551018819363956e-14,0.011678105257773139,1.9551018819363956e-14,0.00017430007847422596,-22.911016841101368
59,event67773_track88-hits,26,78,42,39,42,123,5,-35.409157272410006,8.985659750628533e-16,2.1456139389468767,6.918958007983971e-14,167.35788723785637,6.918958007983971e-14,2.2925737977788545,-31.131601236097524
60,event67790_track429-hits,25,75,32,32,32,96,5,-34.60526352095754,8.35411821496297e-17,0.08928440492357347,6.182047479072598e-15,6.69633036926801,6.182047479072598e-15,0.09566186241811442,-30.37019129924032
